movie_name,describe,introduce,evalute,serial_number,star
看不见的客人,你以为你以为的就是你以为的。,导演:奥里奥尔·保罗OriolPaulo主演:马里奥·卡萨斯MarioCasas/阿...2016/西班牙/剧情犯罪悬疑惊悚,489803人评价,69,8.7
拯救大兵瑞恩,美利坚精神输出大片No1.,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:汤姆·汉克斯TomHanks...1998/美国/剧情历史战争,308927人评价,70,8.9
天使爱美丽,法式小清新。 ,导演:让-皮埃尔·热内Jean-PierreJeunet主演:奥黛丽·塔图AudreyTau...2001/法国德国/喜剧爱情,580844人评价,71,8.7
音乐之声,用音乐化解仇恨，让歌声串起美好。,导演:RobertWise主演:朱丽·安德鲁斯JulieAndrews/克里斯托弗·普...1965/美国/剧情传记爱情歌舞,286912人评价,72,8.9
低俗小说,故事的高级讲法。,导演:昆汀·塔伦蒂诺QuentinTarantino主演:约翰·特拉沃尔塔JohnTra...1994/美国/剧情喜剧犯罪,419999人评价,73,8.8
大闹天宫,经典之作，历久弥新。,导演:万籁鸣LaimingWan/唐澄ChengTang主演:邱岳峰YuefengQiu/...1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻,141864人评价,74,9.3
勇敢的心,史诗大片的典范。,导演:梅尔·吉布森MelGibson主演:梅尔·吉布森MelGibson/苏菲·玛...1995/美国/动作传记剧情历史战争,348150人评价,75,8.8
剪刀手爱德华,浪漫忧郁的成人童话。,导演:TimBurton主演:约翰尼·德普JohnnyDepp/薇诺娜·瑞德Winona...1990/美国/剧情奇幻爱情,591511人评价,76,8.7
哈利·波特与魔法石,童话世界的开端。,导演:ChrisColumbus主演:DanielRadcliffe/EmmaWatson/RupertGrint2001/美国英国/奇幻冒险,364630人评价,77,8.8
沉默的羔羊,安东尼·霍普金斯的顶级表演。,导演:乔纳森·戴米JonathanDemme主演:朱迪·福斯特JodieFoster/安...1991/美国/剧情犯罪惊悚,428039人评价,78,8.8
蝴蝶效应,人的命运被自己瞬间的抉择改变。,导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber主...2004/美国加拿大/剧情悬疑科幻惊悚,471194人评价,79,8.7
春光乍泄,爱情纠缠，男女一致。,导演:王家卫KarWaiWong主演:张国荣LeslieCheung/梁朝伟TonyLeu...1997/香港日本韩国/剧情爱情同性,310360人评价,80,8.9
心灵捕手,人生中应该拥有这样的一段豁然开朗。,导演:格斯·范·桑特GusVanSant主演:马特·达蒙MattDamon/罗宾·...1997/美国/剧情,342024人评价,81,8.8
入殓师,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,导演:泷田洋二郎YôjirôTakita主演:本木雅弘MasahiroMotoki/...2008/日本/剧情,366832人评价,82,8.8
猫鼠游戏,骗子大师和执著警探的你追我跑故事。 ,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:莱昂纳多·迪卡普里奥L...2002/美国加拿大/传记犯罪剧情,311668人评价,83,8.8
布达佩斯大饭店,小清新的故事里注入了大历史的情怀。,导演:韦斯·安德森WesAnderson主演:拉尔夫·费因斯RalphFiennes/...2014/美国德国英国/剧情喜剧冒险,412639人评价,84,8.8
禁闭岛,昔日翩翩少年，今日大腹便便。,导演:MartinScorsese主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...2010/美国/剧情悬疑惊悚,453483人评价,85,8.7
玛丽和马克思,你是我最好的朋友，你是我唯一的朋友 。,导演:亚当·艾略特AdamElliot主演:托妮·科莱特ToniCollette/菲利...2009/澳大利亚/剧情动画,265392人评价,86,8.9
阳光灿烂的日子,一场华丽的意淫。,导演:姜文WenJiang主演:夏雨YuXia/宁静JingNing/陶虹HongTao1994/中国大陆香港/剧情,334341人评价,87,8.8
幽灵公主,人与自然的战争史诗。,导演:宫崎骏HayaoMiyazaki主演:松田洋治YôjiMatsuda/石田百合...1997/日本/动画奇幻冒险,288108人评价,88,8.8
第六感,深入内心的恐怖，出人意料的结局。,导演:M·奈特·沙马兰M.NightShyamalan主演:布鲁斯·威利斯BruceWi...1999/美国/剧情悬疑惊悚,286370人评价,89,8.8
狩猎,人言可畏。,导演:托马斯·温特伯格ThomasVinterberg主演:麦斯·米科尔森MadsMik...2012/丹麦瑞典/剧情,169226人评价,90,9.1
重庆森林,寂寞没有期限。,导演:王家卫KarWaiWong主演:林青霞BrigitteLin/金城武TakeshiK...1994/香港/剧情爱情,407590人评价,91,8.7
穿条纹睡衣的男孩,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,导演:马克·赫门MarkHerman主演:阿沙·巴特菲尔德AsaButterfield/...2008/英国美国/剧情战争,200147人评价,92,9.0
致命ID,最不可能的那个人永远是最可能的。,导演:JamesMangold主演:JohnCusack/RayLiotta/AmandaPeet2003/美国/剧情悬疑惊悚,394490人评价,93,8.7
断背山,每个人心中都有一座断背山。,导演:李安AngLee主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake...2005/美国加拿大/剧情爱情同性家庭,391450人评价,94,8.7
加勒比海盗,约翰尼·德普的独角戏。,导演:戈尔·维宾斯基GoreVerbinski主演:约翰尼·德普JohnnyDepp/...2003/美国/动作冒险奇幻,436549人评价,95,8.6
阿凡达,绝对意义上的美轮美奂。,导演:詹姆斯·卡梅隆JamesCameron主演:萨姆·沃辛顿SamWorthington...2009/美国英国/动作战争科幻冒险,653581人评价,96,8.6
摩登时代,大时代中的人生，小人物的悲喜。,导演:查理·卓别林CharlesChaplin主演:查理·卓别林CharlesChaplin...1936/美国/喜剧剧情爱情,118852人评价,97,9.2
大鱼,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,导演:蒂姆·波顿TimBurton主演:伊万·麦克格雷格EwanMcGregor/阿...2003/美国/剧情家庭奇幻冒险,305125人评价,98,8.7
告白,没有一人完全善，也没有一人完全恶。,导演:中岛哲也TetsuyaNakashima主演:松隆子TakakoMatsu/冈田将生...2010/日本/剧情惊悚,413247人评价,99,8.7
寻梦环游记,死亡不是真的逝去，遗忘才是永恒的消亡。,导演:李·昂克里奇LeeUnkrich/阿德里安·莫利纳AdrianMolina主演:...2017/美国/喜剧动画奇幻音乐,619678人评价,100,9.0
一一,我们都曾经是一一。,导演:杨德昌EdwardYang主演:吴念真/李凯莉KellyLee/金燕玲Elai...2000/台湾日本/剧情爱情家庭,186385人评价,101,9.0
射雕英雄传之东成西就,百看不厌。 ,导演:刘镇伟JeffreyLau主演:梁朝伟TonyLeungChiuWai/林青霞Bri...1993/香港/喜剧古装,333098人评价,102,8.7
甜蜜蜜,相逢只要一瞬间，等待却像是一辈子。,导演:陈可辛PeterChan主演:黎明LeonLai/张曼玉MaggieCheung/...1996/香港/剧情爱情,273280人评价,103,8.8
阳光姐妹淘,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,导演:姜炯哲Hyeong-CheolKang主演:沈恩京Eun-kyungShim/闵孝琳Hy...2011/韩国/剧情喜剧,328175人评价,104,8.8
消失的爱人,年度最佳date movie。,导演:大卫·芬奇DavidFincher主演:本·阿弗莱克BenAffleck/罗莎蒙...2014/美国/剧情犯罪悬疑惊悚,446070人评价,105,8.7
爱在黎明破晓前,缘分是个连绵词，最美不过一瞬。,导演:理查德·林克莱特RichardLinklater主演:伊桑·霍克EthanHawke...1995/美国奥地利瑞士/剧情爱情,273738人评价,106,8.7
上帝之城,被上帝抛弃了的上帝之城。,导演:KátiaLund/FernandoMeirelles主演:AlexandreRodrigues/Lea...2002/巴西法国/犯罪剧情,181194人评价,107,8.9
喜剧之王,我是一个演员。,导演:周星驰StephenChow/李力持Lik-ChiLee主演:周星驰StephenCh...1999/香港/喜剧剧情爱情,406064人评价,108,8.6
小森林 夏秋篇,那些静得只能听见呼吸的日子里，你明白孤独即生活。,导演:森淳一JunichiMori主演:桥本爱AiHashimoto/三浦贵大Takahir...2014/日本/剧情,180547人评价,109,8.9
侧耳倾听,少女情怀总是诗。,导演:近藤喜文YoshifumiKondo主演:本名阳子YoukoHonna/小林桂树K...1995/日本/剧情爱情动画,213846人评价,110,8.8
风之谷,动画片的圣经。,导演:宫崎骏HayaoMiyazaki主演:岛本须美SumiShimamoto/松田洋治Y...1984/日本/动画奇幻冒险,213358人评价,111,8.8
恐怖直播,恐怖分子的“秋菊打官司”。,导演:金秉祐Byeong-wooKim主演:河正宇Jung-wooHa/李璟荣Kyeong-y...2013/韩国/剧情犯罪悬疑,290763人评价,112,8.7
倩女幽魂,两张绝世的脸。 ,导演:程小东Siu-TungChing主演:张国荣LeslieCheung/王祖贤JoeyW...1987/香港/剧情爱情武侠古装,329798人评价,113,8.7
超脱,穷尽一生，我们要学会的，不过是彼此拥抱。,导演:托尼·凯耶TonyKaye主演:艾德里安·布洛迪AdrienBrody/马西...2011/美国/剧情,218403人评价,114,8.8
红辣椒,梦的勾结。,导演:今敏SatoshiKon主演:林原惠美MegumiHayashibara/古谷彻T...2006/日本/动画悬疑科幻惊悚,172266人评价,115,8.9
爱在日落黄昏时,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,导演:理查德·林克莱特RichardLinklater主演:伊桑·霍克EthanHawke...2004/美国/剧情爱情,241453人评价,116,8.8
菊次郎的夏天,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,导演:北野武TakeshiKitano主演:北野武TakeshiKitano/关口雄介Yus...1999/日本/剧情喜剧,233894人评价,117,8.8
驯龙高手,和谐的生活离不开摸头与被摸头。,导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders主演:...2010/美国/喜剧动画奇幻冒险,353972人评价,118,8.7
幸福终点站,有时候幸福需要等一等。 ,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:汤姆·汉克斯TomHanks...2004/美国/喜剧剧情爱情,269895人评价,119,8.7
神偷奶爸,Mr. I Don't Care其实也有Care的时候。,导演:皮艾尔·柯芬PierreCoffin/克里斯·雷纳德ChrisRenaud主演:...2010/美国法国/喜剧动画冒险,477740人评价,120,8.5
借东西的小人阿莉埃蒂,曾经的那段美好会沉淀为一辈子的记忆。,导演:米林宏昌HiromasaYonebayashi主演:志田未来MiraiShida/神木...2010/日本/动画奇幻冒险,264041人评价,121,8.7
杀人回忆,关于连环杀人悬案的集体回忆。,导演:奉俊昊Joon-hoBong主演:宋康昊Kang-hoSong/金相庆Sang-kyun...2003/韩国/犯罪剧情悬疑惊悚,255236人评价,122,8.7
请以你的名字呼唤我,沉醉在电影的情感和视听氛围中无法自拔。,导演:卢卡·圭达尼诺LucaGuadagnino主演:蒂莫西·柴勒梅德Timothée...2017/意大利法国巴西美国/剧情爱情同性,246717人评价,123,8.8
哈利·波特与死亡圣器(下),10年的完美句点。,导演:大卫·叶茨DavidYates主演:丹尼尔·雷德克里夫DanielRadcliffe...2011/美国英国/剧情悬疑奇幻冒险,342480人评价,124,8.7
七武士,时代悲歌。,导演:黑泽明AkiraKurosawa主演:三船敏郎ToshirôMifune/志村乔...1954/日本/动作冒险剧情,95166人评价,125,9.2
岁月神偷,岁月流逝，来日可追。,导演:罗启锐AlexLaw主演:吴君如SandraNg/任达华SimonYam/钟绍...2010/香港中国大陆/剧情家庭,354867人评价,126,8.6
小森林 冬春篇,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,导演:森淳一JunichiMori主演:桥本爱AiHashimoto/三浦贵大Takahir...2015/日本/剧情,156590人评价,127,9.0
怪兽电力公司,不要给它起名字，起了名字就有感情了。,导演:彼特·道格特PeteDocter/大卫·斯沃曼DavidSilverman主演:约...2001/美国/儿童喜剧动画奇幻冒险,304292人评价,128,8.6
萤火虫之墓,幸福是生生不息，却难以触及的远。 ,导演:高畑勋IsaoTakahata主演:辰己努/白石绫乃/志乃原良子1988/日本/动画剧情战争,240919人评价,129,8.7
谍影重重3,像吃了苏打饼一样干脆的电影。,导演:保罗·格林格拉斯PaulGreengrass主演:马特·达蒙MattDamon/...2007/美国德国/动作悬疑惊悚,219976人评价,130,8.7
电锯惊魂,真相就在眼前。,导演:詹姆斯·温JamesWan主演:雷·沃纳尔LeighWhannell/加利·艾...2004/美国/悬疑惊悚恐怖,240078人评价,131,8.7
7号房的礼物,《我是山姆》的《美丽人生》。,导演:李焕庆Hwan-kyeongLee主演:柳承龙Seung-yongRyoo/朴信惠Shi...2013/韩国/剧情喜剧家庭,223980人评价,132,8.7
东邪西毒,电影诗。,导演:王家卫KarWaiWong主演:张国荣LeslieCheung/林青霞Brigitte...1994/香港台湾/剧情动作爱情武侠古装,309305人评价,133,8.6
喜宴,中国家庭的喜怒哀乐忍。,导演:李安AngLee主演:赵文瑄WinstonChao/郎雄SihungLung/归亚...1993/台湾美国/剧情喜剧爱情同性家庭,169514人评价,134,8.8
疯狂原始人,老少皆宜，这就是好莱坞动画的魅力。,导演:科克·德·米科KirkDeMicco/克里斯·桑德斯ChrisSanders主演...2013/美国/喜剧动画冒险,444923人评价,135,8.7
贫民窟的百万富翁,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,导演:丹尼·鲍尔DannyBoyle/洛芙琳·坦丹LoveleenTandan主演:戴夫...2008/英国美国/剧情爱情,451151人评价,136,8.5
萤火之森,触不到的恋人。,导演:大森贵弘TakahiroOmori主演:佐仓绫音AyaneSakura/内山昂辉K...2011/日本/剧情爱情动画奇幻,206716人评价,137,8.8
记忆碎片,一个针管引发的血案。,导演:克里斯托弗·诺兰ChristopherNolan主演:盖·皮尔斯GuyPearce/...2000/美国/犯罪剧情悬疑惊悚,330758人评价,138,8.6
黑天鹅,黑暗之美。,导演:达伦·阿罗诺夫斯基DarrenAronofsky主演:娜塔莉·波特曼Natalie...2010/美国/剧情惊悚,488634人评价,139,8.5
真爱至上,爱，是个动词。,导演:理查德·柯蒂斯RichardCurtis主演:休·格兰特HughGrant/柯林...2003/英国美国法国/喜剧剧情爱情,368598人评价,140,8.5
超能陆战队,Balalala~~~,导演:唐·霍尔DonHall/克里斯·威廉姆斯ChrisWilliams主演:斯科特...2014/美国/喜剧动作科幻动画冒险,465456人评价,141,8.6
英雄本色,英雄泪短，兄弟情长。 ,导演:吴宇森JohnWoo主演:周润发Yun-FatChow/狄龙LungTi/张国...1986/香港/动作犯罪,222245人评价,142,8.6
唐伯虎点秋香,华太师是黄霑，吴镇宇四大才子之一。,导演:李力持Lik-ChiLee主演:周星驰StephenChow/巩俐LiGong/陈...1993/香港/喜剧爱情古装,434087人评价,143,8.5
